School,School Code,Attendance Year,School Type,School Category,EQ Zone,Region,Local Government Area,FTE Days Attended,Possible Attendance Days,Attendance Rate
Cooroy State School,1165,2014,State School,Primary,Rural,North Coast,Noosa (S),46548,50160,92.8%
Cooroy State School,1165,2015,State School,Primary,Rural,North Coast,Noosa (S),45362.5,48713,93.1%
Coorparoo Secondary College,2077,2011,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),31535,36796,85.7%
Coorparoo Secondary College,2077,2012,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),32743,38516,85.0%
Coorparoo Secondary College,2077,2013,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),31885,38198.5,83.5%
Coorparoo Secondary College,2077,2014,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),29199.5,33855,86.2%
Coorparoo Secondary College,2077,2015,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),34626.5,39329,88.0%
Coorparoo State School,219,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),63942,67276,95.0%
Coorparoo State School,219,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),66986,70183,95.4%
Coorparoo State School,219,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),66312.5,70068.5,94.6%
Coorparoo State School,219,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),75127,79363,94.7%
Coorparoo State School,219,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),73271.5,77517,94.5%
Coowonga State School,32,2011,State School,Primary,Rural,Central Queensland,Livingstone (S),2655.5,2852,93.1%
Coowonga State School,32,2012,State School,Primary,Rural,Central Queensland,Livingstone (S),2250.5,2416,93.1%
Coowonga State School,32,2013,State School,Primary,Rural,Central Queensland,Livingstone (S),1733.5,1835,94.5%
Coowonga State School,32,2014,State School,Primary,Rural,Central Queensland,Livingstone (S),1702,1881,90.5%
Coowonga State School,32,2015,State School,Primary,Rural,Central Queensland,Livingstone (S),1982,2071,95.7%
Cooyar State School,1084,2011,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),4006.5,4224,94.9%
Cooyar State School,1084,2012,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),4008,4252,94.3%
Cooyar State School,1084,2013,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),4369,4789,91.2%
Cooyar State School,1084,2014,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),4108,4349,94.5%
Cooyar State School,1084,2015,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),3877.5,4131,93.9%
Coppabella State School,1898,2011,State School,Primary,Remote,Central Queensland,Isaac (R),2725.5,2871,94.9%
Coppabella State School,1898,2012,State School,Primary,Remote,Central Queensland,Isaac (R),2763.5,2940,94.0%
Coppabella State School,1898,2013,State School,Primary,Remote,Central Queensland,Isaac (R),2173.5,2287,95.0%
Coppabella State School,1898,2014,State School,Primary,Remote,Central Queensland,Isaac (R),2217.5,2370,93.6%
Coppabella State School,1898,2015,State School,Primary,Remote,Central Queensland,Isaac (R),1906.5,2021,94.3%
Cordalba State School,117,2011,State School,Primary,Rural,North Coast,Bundaberg (R),8305.5,9048,91.8%
Cordalba State School,117,2012,State School,Primary,Rural,North Coast,Bundaberg (R),8550,9166,93.3%
Cordalba State School,117,2013,State School,Primary,Rural,North Coast,Bundaberg (R),7951.5,8724,91.1%
Cordalba State School,117,2014,State School,Primary,Rural,North Coast,Bundaberg (R),7962,8522,93.4%
Cordalba State School,117,2015,State School,Primary,Rural,North Coast,Bundaberg (R),7686.5,8177,94.0%
Corinda State High School,2055,2011,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),138530,149143,92.9%
Corinda State High School,2055,2012,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),139896,150438,93.0%
Corinda State High School,2055,2013,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),137293.5,148751.5,92.3%
Corinda State High School,2055,2014,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),142561,154145,92.5%
Corinda State High School,2055,2015,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),161558,175399,92.1%
Corinda State School,1025,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),50991,54061,94.3%
Corinda State School,1025,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),49924.5,52667,94.8%
Corinda State School,1025,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),50095.5,52703,95.1%
Corinda State School,1025,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),55637,59137,94.1%
Corinda State School,1025,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),51604.5,55132,93.6%
Craigslea State High School,2023,2011,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),71639,78601,91.1%
Craigslea State High School,2023,2012,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),71311,78400.5,91.0%
Craigslea State High School,2023,2013,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),74120,82895,89.4%
Craigslea State High School,2023,2014,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),78776,87519,90.0%
Craigslea State High School,2023,2015,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),86332,96024,89.9%
Craigslea State School,60,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),57622.5,61061,94.4%
Craigslea State School,60,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),53521,56564,94.6%
Craigslea State School,60,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),54961,58309,94.3%
Craigslea State School,60,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),56136.5,60312,93.1%
Craigslea State School,60,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),50671.5,54143,93.6%
Cranbrook State School,1907,2011,State School,Primary,Metropolitan,North Queensland,Townsville (C),54534,58807,92.7%
Cranbrook State School,1907,2012,State School,Primary,Metropolitan,North Queensland,Townsville (C),51389.5,55338.5,92.9%
Cranbrook State School,1907,2013,State School,Primary,Metropolitan,North Queensland,Townsville (C),49941.5,53506,93.3%
Cranbrook State School,1907,2014,State School,Primary,Metropolitan,North Queensland,Townsville (C),48594,52420,92.7%
Cranbrook State School,1907,2015,State School,Primary,Metropolitan,North Queensland,Townsville (C),45979.5,49260,93.3%
Crawford State School,399,2011,State School,Primary,Rural,Darling Downs South West,South Burnett (R),2867,3255,88.1%
Crawford State School,399,2012,State School,Primary,Rural,Darling Downs South West,South Burnett (R),3386,3696,91.6%
Crawford State School,399,2013,State School,Primary,Rural,Darling Downs South West,South Burnett (R),2650,2893,91.6%
Crawford State School,399,2014,State School,Primary,Rural,Darling Downs South West,South Burnett (R),3800.5,4315,88.1%
Crawford State School,399,2015,State School,Primary,Rural,Darling Downs South West,South Burnett (R),3323.5,3640,91.3%
Crescent Lagoon State School,762,2011,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),36352.5,39418,92.2%
Crescent Lagoon State School,762,2012,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),33988.5,36831,92.3%
Crescent Lagoon State School,762,2013,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),33248,36279,91.6%
Crescent Lagoon State School,762,2014,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),35131,37556,93.5%
Crescent Lagoon State School,762,2015,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),30875.5,33293,92.7%
Crestmead State School,1928,2011,State School,Primary,Metropolitan,South East,Logan (C),87592,95585,91.6%
Crestmead State School,1928,2012,State School,Primary,Metropolitan,South East,Logan (C),85934,93894,91.5%
Crestmead State School,1928,2013,State School,Primary,Metropolitan,South East,Logan (C),90490.5,98995,91.4%
Crestmead State School,1928,2014,State School,Primary,Metropolitan,South East,Logan (C),98512,108247.5,91.0%
Crestmead State School,1928,2015,State School,Primary,Metropolitan,South East,Logan (C),93690.5,101961,91.9%
Crow's Nest State School,293,2011,State School,Combined,Rural,Darling Downs South West,Toowoomba (R),27308.5,29904,91.3%
Crow's Nest State School,293,2012,State School,Combined,Rural,Darling Downs South West,Toowoomba (R),25549,27727,92.1%
Crow's Nest State School,293,2013,State School,Combined,Rural,Darling Downs South West,Toowoomba (R),26713,29189,91.5%
Crow's Nest State School,293,2014,State School,Combined,Rural,Darling Downs South West,Toowoomba (R),24851,27085,91.8%
Crow's Nest State School,293,2015,State School,Combined,Rural,Darling Downs South West,Toowoomba (R),28616.5,30983,92.4%
Croydon State School,165,2011,State School,Primary,Remote,Far North Queensland,Croydon (S),1657,1980,83.7%
Croydon State School,165,2012,State School,Primary,Remote,Far North Queensland,Croydon (S),2565.5,2920,87.9%
Croydon State School,165,2013,State School,Primary,Remote,Far North Queensland,Croydon (S),2922.5,3352,87.2%
Croydon State School,165,2014,State School,Primary,Remote,Far North Queensland,Croydon (S),3421.5,3998,85.6%
Croydon State School,165,2015,State School,Primary,Remote,Far North Queensland,Croydon (S),3123.5,3500,89.2%
Cunnamulla P-12 State School,289,2011,State School,Combined,Remote,Darling Downs South West,Paroo (S),8607,10791,79.8%
Cunnamulla P-12 State School,289,2012,State School,Combined,Remote,Darling Downs South West,Paroo (S),9180,10951,83.8%
Cunnamulla P-12 State School,289,2013,State School,Combined,Remote,Darling Downs South West,Paroo (S),10358.5,12268,84.4%
Cunnamulla P-12 State School,289,2014,State School,Combined,Remote,Darling Downs South West,Paroo (S),10117,12012,84.2%
Cunnamulla P-12 State School,289,2015,State School,Combined,Remote,Darling Downs South West,Paroo (S),10649,12463,85.4%
Currajong State School,355,2011,State School,Primary,Metropolitan,North Queensland,Townsville (C),52465.5,57666,91.0%
Currajong State School,355,2012,State School,Primary,Metropolitan,North Queensland,Townsville (C),49375,54651,90.3%
Currajong State School,355,2013,State School,Primary,Metropolitan,North Queensland,Townsville (C),51944,56756,91.5%
Currajong State School,355,2014,State School,Primary,Metropolitan,North Queensland,Townsville (C),54117,59502,90.9%
Currajong State School,355,2015,State School,Primary,Metropolitan,North Queensland,Townsville (C),52462.5,56351,93.1%
Currimundi Special School,3054,2011,Special School,Special,Metropolitan,North Coast,Sunshine Coast (R),10649,12141,87.7%
Currimundi Special School,3054,2012,Special School,Special,Metropolitan,North Coast,Sunshine Coast (R),10408.5,11747,88.6%
Currimundi Special School,3054,2013,Special School,Special,Metropolitan,North Coast,Sunshine Coast (R),12062.5,13381,90.1%
Currimundi Special School,3054,2014,Special School,Special,Metropolitan,North Coast,Sunshine Coast (R),14918.5,16571,90.0%
Currimundi Special School,3054,2015,Special School,Special,Metropolitan,North Coast,Sunshine Coast (R),16903.5,18847,89.7%
Currimundi State School,1868,2011,State School,Primary,Metropolitan,North Coast,Sunshine Coast (R),44453.5,48287,92.1%
Currimundi State School,1868,2012,State School,Primary,Metropolitan,North Coast,Sunshine Coast (R),44589,48857,91.3%
Currimundi State School,1868,2013,State School,Primary,Metropolitan,North Coast,Sunshine Coast (R),47049,51427,91.5%
Currimundi State School,1868,2014,State School,Primary,Metropolitan,North Coast,Sunshine Coast (R),53159,57995.5,91.7%
Currimundi State School,1868,2015,State School,Primary,Metropolitan,North Coast,Sunshine Coast (R),52250.5,57024,91.6%
Currumbin Community Special School,3043,2011,Special School,Special,Metropolitan,South East,Gold Coast (C),6561.5,7232,90.7%
Currumbin Community Special School,3043,2012,Special School,Special,Metropolitan,South East,Gold Coast (C),5935.5,6520,91.0%
Currumbin Community Special School,3043,2013,Special School,Special,Metropolitan,South East,Gold Coast (C),6505,7251.5,89.7%
Currumbin Community Special School,3043,2014,Special School,Special,Metropolitan,South East,Gold Coast (C),7081,7951,89.1%
Currumbin Community Special School,3043,2015,Special School,Special,Metropolitan,South East,Gold Coast (C),8322,9347,89.0%
Currumbin State School,1168,2011,State School,Primary,Metropolitan,South East,Gold Coast (C),89976.5,98363,91.5%
Currumbin State School,1168,2012,State School,Primary,Metropolitan,South East,Gold Coast (C),91370,99864,91.5%
Currumbin State School,1168,2013,State School,Primary,Metropolitan,South East,Gold Coast (C),90390.5,97904,92.3%
Currumbin State School,1168,2014,State School,Primary,Metropolitan,South East,Gold Coast (C),99982.5,107940,92.6%
Currumbin State School,1168,2015,State School,Primary,Metropolitan,South East,Gold Coast (C),95512.5,102557,93.1%
Currumbin Valley State School,775,2011,State School,Primary,Metropolitan,South East,Gold Coast (C),8547,9451,90.4%
Currumbin Valley State School,775,2012,State School,Primary,Metropolitan,South East,Gold Coast (C),8715,9880,88.2%
Currumbin Valley State School,775,2013,State School,Primary,Metropolitan,South East,Gold Coast (C),10050,11155,90.1%
Currumbin Valley State School,775,2014,State School,Primary,Metropolitan,South East,Gold Coast (C),12521,13803,90.7%
Currumbin Valley State School,775,2015,State School,Primary,Metropolitan,South East,Gold Coast (C),13561,14450,93.8%
Dagun State School,892,2011,State School,Primary,Rural,North Coast,Gympie (R),1258,1348,93.3%
Dagun State School,892,2012,State School,Primary,Rural,North Coast,Gympie (R),2021.5,2189,92.3%
Dagun State School,892,2013,State School,Primary,Rural,North Coast,Gympie (R),2751,2995,91.9%
Dagun State School,892,2014,State School,Primary,Rural,North Coast,Gympie (R),2593,2803,92.5%
Dagun State School,892,2015,State School,Primary,Rural,North Coast,Gympie (R),2400,2601,92.3%
Daintree State School,1022,2011,State School,Primary,Remote,Far North Queensland,Douglas (S),988,1022,96.7%
Daintree State School,1022,2012,State School,Primary,Remote,Far North Queensland,Douglas (S),1222.5,1388,88.1%
Daintree State School,1022,2013,State School,Primary,Remote,Far North Queensland,Douglas (S),1301.5,1551,83.9%
Daintree State School,1022,2014,State School,Primary,Remote,Far North Queensland,Douglas (S),1506,1699,88.6%
Daintree State School,1022,2015,State School,Primary,Remote,Far North Queensland,Douglas (S),1057,1120,94.4%
Dajarra State School,1670,2011,State School,Primary,Remote,North Queensland,Cloncurry (S),2769.5,3120,88.8%
Dajarra State School,1670,2012,State School,Primary,Remote,North Queensland,Cloncurry (S),2836,3042,93.2%
Dajarra State School,1670,2013,State School,Primary,Remote,North Queensland,Cloncurry (S),4121,4497,91.6%
Dajarra State School,1670,2014,State School,Primary,Remote,North Queensland,Cloncurry (S),3989,4379,91.1%
Dajarra State School,1670,2015,State School,Primary,Remote,North Queensland,Cloncurry (S),2855,3298.5,86.6%
Dakabin State High School,2142,2011,State High School,Secondary,Metropolitan,North Coast,Moreton Bay (R),84236,96507.5,87.3%
Dakabin State High School,2142,2012,State High School,Secondary,Metropolitan,North Coast,Moreton Bay (R),74182,84826,87.5%
Dakabin State High School,2142,2013,State High School,Secondary,Metropolitan,North Coast,Moreton Bay (R),69752.5,80709,86.4%
Dakabin State High School,2142,2014,State High School,Secondary,Metropolitan,North Coast,Moreton Bay (R),69011.5,80425,85.8%
Dakabin State High School,2142,2015,State High School,Secondary,Metropolitan,North Coast,Moreton Bay (R),79861.5,91029,87.7%
Dakabin State School,1988,2011,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),41353.5,45025,91.8%
Dakabin State School,1988,2012,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),36886,40291.5,91.5%
Dakabin State School,1988,2013,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),36892,40009.5,92.2%
Dakabin State School,1988,2014,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),42868.5,47158,90.9%
Dakabin State School,1988,2015,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),42804,47041,91.0%
Dalby South State School,671,2011,State School,Primary,Rural,Darling Downs South West,Western Downs (R),57684,62629,92.1%
Dalby South State School,671,2012,State School,Primary,Rural,Darling Downs South West,Western Downs (R),59891.5,64944,92.2%
Dalby South State School,671,2013,State School,Primary,Rural,Darling Downs South West,Western Downs (R),61760,67087,92.1%
Dalby South State School,671,2014,State School,Primary,Rural,Darling Downs South West,Western Downs (R),71522.5,75891,94.2%
Dalby South State School,671,2015,State School,Primary,Rural,Darling Downs South West,Western Downs (R),62878,67485,93.2%
Dalby State High School,2033,2011,State High School,Secondary,Rural,Darling Downs South West,Western Downs (R),63293.5,71657,88.3%
Dalby State High School,2033,2012,State High School,Secondary,Rural,Darling Downs South West,Western Downs (R),65906.5,74046,89.0%
Dalby State High School,2033,2013,State High School,Secondary,Rural,Darling Downs South West,Western Downs (R),66436.5,76094.5,87.3%
Dalby State High School,2033,2014,State High School,Secondary,Rural,Darling Downs South West,Western Downs (R),72279.5,84446,85.6%
Dalby State High School,2033,2015,State High School,Secondary,Rural,Darling Downs South West,Western Downs (R),87585,98262,89.1%
Dalby State School,28,2011,State School,Primary,Rural,Darling Downs South West,Western Downs (R),43079,47429,90.8%
Dalby State School,28,2012,State School,Primary,Rural,Darling Downs South West,Western Downs (R),40665,44042,92.3%
Dalby State School,28,2013,State School,Primary,Rural,Darling Downs South West,Western Downs (R),38723,42620.5,90.9%
Dalby State School,28,2014,State School,Primary,Rural,Darling Downs South West,Western Downs (R),44933.5,48830,92.0%
Dalby State School,28,2015,State School,Primary,Rural,Darling Downs South West,Western Downs (R),46418.5,50427.5,92.0%
Dallarnil State School,950,2011,State School,Primary,Rural,Central Queensland,North Burnett (R),2675.5,2854,93.7%
Dallarnil State School,950,2012,State School,Primary,Rural,Central Queensland,North Burnett (R),2708.5,2810,96.4%
Dallarnil State School,950,2013,State School,Primary,Rural,Central Queensland,North Burnett (R),2675,2878,92.9%
Dallarnil State School,950,2014,State School,Primary,Rural,Central Queensland,North Burnett (R),3052,3251,93.9%
Dallarnil State School,950,2015,State School,Primary,Rural,Central Queensland,North Burnett (R),2953.5,3091,95.6%
Dalveen State School,318,2011,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),2175,2254,96.5%
Dalveen State School,318,2012,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),1843,1972,93.5%
Dalveen State School,318,2013,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),1743,1884,92.5%
Dalveen State School,318,2014,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),1860.5,1944,95.7%
Dalveen State School,318,2015,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),1114,1150,96.9%
Darling Heights State School,1900,2011,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),47080,50852,92.6%
Darling Heights State School,1900,2012,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),48802,51772,94.3%
Darling Heights State School,1900,2013,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),50503,54788.5,92.2%
Darling Heights State School,1900,2014,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),54915,59056,93.0%
Darling Heights State School,1900,2015,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),57180,61254,93.3%
Darling Point Special School,3025,2011,Special School,Special,Metropolitan,Metropolitan,Brisbane (C),8487,9364,90.6%
Darling Point Special School,3025,2012,Special School,Special,Metropolitan,Metropolitan,Brisbane (C),8627,9834,87.7%
Darling Point Special School,3025,2013,Special School,Special,Metropolitan,Metropolitan,Brisbane (C),8564.5,10103.5,84.8%
Darling Point Special School,3025,2014,Special School,Special,Metropolitan,Metropolitan,Brisbane (C),9366,10893,86.0%
Darling Point Special School,3025,2015,Special School,Special,Metropolitan,Metropolitan,Brisbane (C),9751,11190,87.1%
Darlington State School,520,2011,State School,Primary,Rural,South East,Scenic Rim (R),1291.5,1386,93.2%
Darlington State School,520,2012,State School,Primary,Rural,South East,Scenic Rim (R),1268.5,1323,95.9%
Darlington State School,520,2013,State School,Primary,Rural,South East,Scenic Rim (R),1181.5,1244,95.0%
Darlington State School,520,2014,State School,Primary,Rural,South East,Scenic Rim (R),2423,2600,93.2%
Darlington State School,520,2015,State School,Primary,Rural,South East,Scenic Rim (R),1857.5,2017,92.1%
Darra State School,1520,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),18043.5,19496,92.5%
Darra State School,1520,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),16023.5,17069,93.9%
Darra State School,1520,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),15224.5,16266,93.6%
Darra State School,1520,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),16504.5,17704,93.2%
Darra State School,1520,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),15854,16997,93.3%
Dayboro State School,191,2011,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),31187,33306,93.6%
Dayboro State School,191,2012,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),29434,31265,94.1%
Dayboro State School,191,2013,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),27422.5,29362,93.4%
Dayboro State School,191,2014,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),31907.5,34023,93.8%
Dayboro State School,191,2015,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),31864,34113,93.4%
Deception Bay North State School,1884,2011,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),50210.5,55130,91.1%
Deception Bay North State School,1884,2012,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),45147.5,50845,88.8%
Deception Bay North State School,1884,2013,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),47714,54202.5,88.0%
Deception Bay North State School,1884,2014,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),49654.5,55727,89.1%
Deception Bay North State School,1884,2015,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),46873.5,53097,88.3%
Deception Bay State High School,2107,2011,State High School,Secondary,Metropolitan,North Coast,Moreton Bay (R),47170,59519,79.3%
Deception Bay State High School,2107,2012,State High School,Secondary,Metropolitan,North Coast,Moreton Bay (R),45951.5,57145.5,80.4%
Deception Bay State High School,2107,2013,State High School,Secondary,Metropolitan,North Coast,Moreton Bay (R),49932.5,62631,79.7%
Deception Bay State High School,2107,2014,State High School,Secondary,Metropolitan,North Coast,Moreton Bay (R),55689.5,66793,83.4%
Deception Bay State High School,2107,2015,State High School,Secondary,Metropolitan,North Coast,Moreton Bay (R),67126,77734,86.4%
Deception Bay State School,237,2011,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),26753.5,30509,87.7%
Deception Bay State School,237,2012,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),29121.5,32753,88.9%
Deception Bay State School,237,2013,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),29684,33315,89.1%
Deception Bay State School,237,2014,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),30450,34742,87.6%
Deception Bay State School,237,2015,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),32211,35857,89.8%
Delaneys Creek State School,683,2011,State School,Primary,Rural,North Coast,Moreton Bay (R),19106,20140,94.9%
Delaneys Creek State School,683,2012,State School,Primary,Rural,North Coast,Moreton Bay (R),19080,20383,93.6%
Delaneys Creek State School,683,2013,State School,Primary,Rural,North Coast,Moreton Bay (R),16466.5,17806.5,92.5%
Delaneys Creek State School,683,2014,State School,Primary,Rural,North Coast,Moreton Bay (R),15233.5,16112,94.5%
Delaneys Creek State School,683,2015,State School,Primary,Rural,North Coast,Moreton Bay (R),13772.5,14606,94.3%
Denison State School,392,2011,State School,Primary,Rural,Central Queensland,Central Highlands (R),39032.5,42918,90.9%
Denison State School,392,2012,State School,Primary,Rural,Central Queensland,Central Highlands (R),40596,43724,92.8%
Denison State School,392,2013,State School,Primary,Rural,Central Queensland,Central Highlands (R),40608.5,43868.5,92.6%
Denison State School,392,2014,State School,Primary,Rural,Central Queensland,Central Highlands (R),45401.5,48745,93.1%
Denison State School,392,2015,State School,Primary,Rural,Central Queensland,Central Highlands (R),42129.5,44844,93.9%
Depot Hill State School,837,2011,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),3390.5,3658,92.7%
Depot Hill State School,837,2012,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),3542,3849,92.0%
Depot Hill State School,837,2013,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),2929,3276,89.4%
Depot Hill State School,837,2014,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),3593,3899,92.2%
Depot Hill State School,837,2015,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),3593,3961,90.7%
Dimbulah State School,1226,2011,State School,Combined,Rural,Far North Queensland,Mareeba (S),12461,14467,86.1%
Dimbulah State School,1226,2012,State School,Combined,Rural,Far North Queensland,Mareeba (S),11587,12830,90.3%
Dimbulah State School,1226,2013,State School,Combined,Rural,Far North Queensland,Mareeba (S),11406,13080,87.2%
Dimbulah State School,1226,2014,State School,Combined,Rural,Far North Queensland,Mareeba (S),12223.5,13885,88.0%
Dimbulah State School,1226,2015,State School,Combined,Rural,Far North Queensland,Mareeba (S),12735,14305,89.0%
Dingo State School,266,2011,State School,Primary,Rural,Central Queensland,Central Highlands (R),3539.5,3936,89.9%
Dingo State School,266,2012,State School,Primary,Rural,Central Queensland,Central Highlands (R),3230,3666,88.1%
Dingo State School,266,2013,State School,Primary,Rural,Central Queensland,Central Highlands (R),3068,3397,90.3%
Dingo State School,266,2014,State School,Primary,Rural,Central Queensland,Central Highlands (R),2905,3151,92.2%
Dingo State School,266,2015,State School,Primary,Rural,Central Queensland,Central Highlands (R),3037.5,3186,95.3%
Dirranbandi P-10 State School,1001,2011,State School,Combined,Remote,Darling Downs South West,Balonne (S),8789,10474,83.9%
Dirranbandi P-10 State School,1001,2012,State School,Combined,Remote,Darling Downs South West,Balonne (S),8187.5,9497,86.2%
Dirranbandi P-10 State School,1001,2013,State School,Combined,Remote,Darling Downs South West,Balonne (S),9022,10479,86.1%
Dirranbandi P-10 State School,1001,2014,State School,Combined,Remote,Darling Downs South West,Balonne (S),8295.5,9540,87.0%
Dirranbandi P-10 State School,1001,2015,State School,Combined,Remote,Darling Downs South West,Balonne (S),7430.5,8787,84.6%
Doomadgee State School,330,2011,State School,Combined,Remote,North Queensland,Doomadgee (S),15261.5,25769,59.2%
Doomadgee State School,330,2012,State School,Combined,Remote,North Queensland,Doomadgee (S),13014,24075,54.1%
Doomadgee State School,330,2013,State School,Combined,Remote,North Queensland,Doomadgee (S),13543.5,28044,48.3%
Doomadgee State School,330,2014,State School,Combined,Remote,North Queensland,Doomadgee (S),20470.5,31804,64.4%
Doomadgee State School,330,2015,State School,Combined,Remote,North Queensland,Doomadgee (S),17575.5,30375,57.9%
Drayton State School,31,2011,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),26085.5,27844,93.7%
Drayton State School,31,2012,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),25396,27310,93.0%
Drayton State School,31,2013,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),25087,26922.5,93.2%
Drayton State School,31,2014,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),28253,30778,91.8%
Drayton State School,31,2015,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),28249.5,30277,93.3%
Drillham State School,889,2011,State School,Primary,Remote,Darling Downs South West,Western Downs (R),1939.5,2079,93.3%
Drillham State School,889,2012,State School,Primary,Remote,Darling Downs South West,Western Downs (R),2046.5,2176,94.0%
Drillham State School,889,2013,State School,Primary,Remote,Darling Downs South West,Western Downs (R),2371,2511,94.4%
Drillham State School,889,2014,State School,Primary,Remote,Darling Downs South West,Western Downs (R),2552.5,2657,96.1%
Drillham State School,889,2015,State School,Primary,Remote,Darling Downs South West,Western Downs (R),2830.5,2928,96.7%
Duaringa State School,342,2011,State School,Primary,Rural,Central Queensland,Central Highlands (R),2964.5,3274,90.5%
Duaringa State School,342,2012,State School,Primary,Rural,Central Queensland,Central Highlands (R),2605.5,2866,90.9%
Duaringa State School,342,2013,State School,Primary,Rural,Central Queensland,Central Highlands (R),1530,1761.5,86.9%
Duaringa State School,342,2014,State School,Primary,Rural,Central Queensland,Central Highlands (R),2432.5,2589,94.0%
Duaringa State School,342,2015,State School,Primary,Rural,Central Queensland,Central Highlands (R),1807.5,1925,93.9%
