School Name,Centre Code,Region,Local Government Area,LOTE Language,School Category,Year 7 as Secondary,Year Level Sector
Dysart State School,0097,Central Queensland,Isaac (R),Japanese,Primary,No,P
Eagle Junction State School,0726,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Eagleby South State School,1876,South East,Logan (C),LOTE,Primary,No,P
Eagleby State School,1974,South East,Logan (C),Japanese,Primary,No,P
Earnshaw State College,5180,Metropolitan,Brisbane (C),Japanese,Combined,No,P/S
Eatons Hill State School,0593,Metropolitan,Moreton Bay (R),Japanese,Primary,No,P
Edens Landing State School,0301,South East,Logan (C),Japanese,Primary,No,P
Edge Hill State School,0235,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Eight Mile Plains State School,0034,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Eimeo Road State School,0545,Central Queensland,Mackay (R),Japanese,Primary,No,P
El Arish State School,1758,Far North Queensland,Cassowary Coast (R),Indonesian,Primary,No,P
Elanora State High School,2183,South East,Gold Coast (C),Japanese,Secondary,No,S
Elanora State School,1923,South East,Gold Coast (C),Japanese,Primary,No,P
Elimbah State School,0953,North Coast,Moreton Bay (R),Chinese,Primary,No,P
Elliott Heads State School,1347,North Coast,Bundaberg (R),Japanese,Primary,No,P
Emerald North State School,1904,Central Queensland,Central Highlands (R),Indonesian,Primary,No,P
Emerald State High School,2122,Central Queensland,Central Highlands (R),Japanese,Secondary,No,S
Emerald State School,0354,Central Queensland,Central Highlands (R),Indonesian,Primary,No,P
Emu Creek State School,0154,Darling Downs South West,Toowoomba (R),French,Primary,No,P
Emu Park State School,0473,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Enoggera State School,0035,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Eromanga State School,1179,Darling Downs South West,Quilpie (S),Japanese,Primary,No,P
Esk State School,0199,Darling Downs South West,Somerset (R),Indonesian,Primary,No,P
Eton State School,0310,Central Queensland,Mackay (R),Japanese,Primary,No,P
Eudlo State School,0682,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Eulo State School,0222,Darling Downs South West,Paroo (S),Japanese,Primary,No,P
Eumundi State School,0698,North Coast,Sunshine Coast (R),Italian,Primary,No,P
Eungella State School,1353,Central Queensland,Mackay (R),Japanese,Primary,No,P
Everton Park State High School,2061,Metropolitan,Brisbane (C),Chinese,Secondary,No,S
Everton Park State School,1185,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Fairview Heights State School,1751,Darling Downs South West,Toowoomba (R),German,Primary,No,P
Farleigh State School,1172,Central Queensland,Mackay (R),Japanese,Primary,No,P
Farnborough State School,1027,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Federal State School,1205,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Feluga State School,0810,Far North Queensland,Cassowary Coast (R),Indonesian,Primary,No,P
Fernvale State School,0170,Metropolitan,Somerset (R),German,Primary,No,P
Ferny Grove State High School,2148,Metropolitan,Brisbane (C),German,Secondary,No,S
Ferny Grove State High School,2148,Metropolitan,Brisbane (C),Indonesian,Secondary,No,S
Ferny Grove State School,0227,Metropolitan,Brisbane (C),German,Primary,No,P
Ferny Hills State School,0250,Metropolitan,Moreton Bay (R),German,Primary,No,P
Fig Tree Pocket State School,0036,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Finch Hatton State School,1175,Central Queensland,Mackay (R),Japanese,Primary,No,P
Fitzgerald State School,1883,Central Queensland,Mackay (R),Japanese,Primary,No,P
Flagstone Creek State School,0489,Darling Downs South West,Lockyer Valley (R),German,Primary,No,P
Flagstone State Community College,2323,South East,Logan (C),Japanese,Secondary,No,S
Flagstone State School,0471,South East,Logan (C),Japanese,Primary,No,P
Flying Fish Point State School,0845,Far North Queensland,Cassowary Coast (R),Italian,Primary,No,P
Forest Hill State School,0697,Darling Downs South West,Lockyer Valley (R),Japanese,Primary,No,P
Forest Lake State High School,1726,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Forest Lake State School,1998,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Forrest Beach State School,1897,North Queensland,Hinchinbrook (S),Italian,Primary,No,P
Fortitude Valley State School,0037,Metropolitan,Brisbane (C),German,Primary,No,P
Freestone State School,0040,Darling Downs South West,Southern Downs (R),Japanese,Primary,No,P
Frenchville State School,0940,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Freshwater State School,1812,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Gabbinbar State School,0084,Darling Downs South West,Toowoomba (R),Chinese,Primary,No,P
Garbutt State School,1434,North Queensland,Townsville (C),German,Primary,No,P
Gargett State School,1460,Central Queensland,Mackay (R),Japanese,Primary,No,P
Gatton State School,0041,Darling Downs South West,Lockyer Valley (R),German,Primary,No,P
Gaven State School,1752,South East,Gold Coast (C),Japanese,Primary,No,P
Gayndah State School,0042,Central Queensland,North Burnett (R),German,Primary,No,P
Geebung State School,1257,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Geham State School,0054,Darling Downs South West,Toowoomba (R),German,Primary,No,P
Gilston State School,0050,South East,Gold Coast (C),Japanese,Primary,No,P
Gin Gin State High School,2131,North Coast,Bundaberg (R),Japanese,Secondary,No,S
Gin Gin State School,0298,North Coast,Bundaberg (R),Japanese,Primary,No,P
Gindie State School,0709,Central Queensland,Central Highlands (R),Indonesian,Primary,No,P
Giru State School,1258,North Queensland,Burdekin (S),Japanese,Primary,No,P
Givelda State School,0749,North Coast,Bundaberg (R),Japanese,Primary,No,P
Gladstone Central State School,0044,Central Queensland,Gladstone (R),Korean,Primary,No,P
Gladstone South State School,0825,Central Queensland,Gladstone (R),Japanese,Primary,No,P
Gladstone State High School,2030,Central Queensland,Gladstone (R),Korean,Secondary,No,S
Gladstone West State School,0740,Central Queensland,Gladstone (R),Korean,Primary,No,P
Glamorgan Vale State School,0149,Metropolitan,Somerset (R),German,Primary,No,P
Glass House Mountains State School,1242,North Coast,Sunshine Coast (R),Spanish,Primary,No,P
Glen Aplin State School,0544,Darling Downs South West,Southern Downs (R),Italian,Primary,No,P
Glenala State High School,1592,Metropolitan,Brisbane (C),LOTE,Secondary,No,S
Glenala State High School,1592,Metropolitan,Brisbane (C),Vietnamese,Secondary,No,S
Glenden State School,1918,Central Queensland,Isaac (R),French,Combined,Yes,P/S
Glenella State School,0313,Central Queensland,Mackay (R),Japanese,Primary,No,P
Glenmore State High School,2028,Central Queensland,Rockhampton (R),Japanese,Secondary,Yes,P/S
Glenmore State School,0574,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Glenmorgan State School,0917,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Glennie Heights State School,0770,Darling Downs South West,Southern Downs (R),Japanese,Primary,No,P
Glenore Grove State School,1089,Darling Downs South West,Lockyer Valley (R),German,Primary,No,P
Glenvale State School,0126,Darling Downs South West,Toowoomba (R),Indonesian,Primary,No,P
Glenview State School,0337,North Coast,Sunshine Coast (R),Italian,Primary,No,P
Glenwood State School,1617,North Coast,Fraser Coast (R),German,Primary,No,P
Gogango State School,0552,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Golden Beach State School,1920,North Coast,Sunshine Coast (R),French,Primary,No,P
Gooburrum State School,0407,North Coast,Bundaberg (R),Japanese,Primary,No,P
Goodna State School,0045,Metropolitan,Ipswich (C),German,Primary,No,P
Goodwood State School,0939,North Coast,Bundaberg (R),German,Primary,No,P
Goombungee State School,0111,Darling Downs South West,Toowoomba (R),German,Primary,No,P
Goomeri State School,1310,Darling Downs South West,Gympie (R),Japanese,Combined,No,P/S
Goondi State School,0807,Far North Queensland,Cassowary Coast (R),Italian,Primary,No,P
Goondiwindi State High School,2092,Darling Downs South West,Goondiwindi (R),French,Secondary,No,S
Goondiwindi State School,0046,Darling Downs South West,Goondiwindi (R),Japanese,Primary,No,P
Goovigen State School,1839,Central Queensland,Banana (S),Japanese,Primary,No,P
Gordonvale State High School,2106,Far North Queensland,Cairns (R),Japanese,Secondary,No,S
Gordonvale State School,0790,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Gowrie State School,0297,Darling Downs South West,Toowoomba (R),Japanese,Primary,No,P
Gracemere State School,0047,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Graceville State School,1515,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Grand Avenue State School,1674,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Grandchester State School,0145,Metropolitan,Ipswich (C),Japanese,Primary,No,P
Grantham State School,1051,Darling Downs South West,Lockyer Valley (R),German,Primary,No,P
Granville State School,0193,North Coast,Fraser Coast (R),German,Primary,No,P
Greenbank State School,0695,South East,Logan (C),Indonesian,Primary,No,P
Greenlands State School,0925,Darling Downs South West,Southern Downs (R),Italian,Primary,No,P
Greenslopes State School,0614,Metropolitan,Brisbane (C),Italian,Primary,No,P
Grosmont State School,1056,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Grovely State School,1136,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Guluguba State School,1549,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Gumdale State School,1608,Metropolitan,Brisbane (C),French,Primary,No,P
Gumlu State School,1391,North Queensland,Whitsunday (R),Japanese,Primary,No,P
Gunalda State School,0058,North Coast,Gympie (R),German,Primary,No,P
Gundiah State School,0821,North Coast,Fraser Coast (R),German,Primary,No,P
Gympie Central State School,0049,North Coast,Gympie (R),German,Primary,No,P
Gympie East State School,0482,North Coast,Gympie (R),German,Primary,No,P
Gympie South State School,1221,North Coast,Gympie (R),German,Primary,No,P
Gympie State High School,2007,North Coast,Gympie (R),German,Secondary,No,S
Gympie State High School,2007,North Coast,Gympie (R),Japanese,Secondary,No,S
Gympie West State School,0560,North Coast,Gympie (R),German,Primary,No,P
Haden State School,1329,Darling Downs South West,Toowoomba (R),German,Primary,No,P
Haigslea State School,0114,Metropolitan,Ipswich (C),German,Primary,No,P
Halifax State School,0213,North Queensland,Hinchinbrook (S),Italian,Primary,No,P
Hambledon State School,0538,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Hamilton Island State School,1962,North Queensland,Whitsunday (R),Japanese,Primary,No,P
Hamilton State School,1130,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Hampden State School,0529,Central Queensland,Mackay (R),Japanese,Primary,No,P
Hannaford State School,1849,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Happy Valley State School,0843,North Queensland,Mount Isa (C),Japanese,Primary,No,P
Harlaxton State School,0978,Darling Downs South West,Toowoomba (R),German,Primary,No,P
Harlin State School,0902,Darling Downs South West,Somerset (R),Indonesian,Primary,No,P
Harris Fields State School,0359,South East,Logan (C),Indonesian,Primary,No,P
Harristown State High School,2038,Darling Downs South West,Toowoomba (R),German,Secondary,No,S
Harristown State High School,2038,Darling Downs South West,Toowoomba (R),Indonesian,Secondary,No,S
Harrisville State School,0621,South East,Scenic Rim (R),German,Primary,No,P
Hatton Vale State School,0390,Darling Downs South West,Lockyer Valley (R),German,Primary,No,P
Hatton Vale State School,0390,Darling Downs South West,Lockyer Valley (R),Japanese,Primary,No,P
Healy State School,0232,North Queensland,Mount Isa (C),Japanese,Primary,No,P
Heatley Secondary College,2120,North Queensland,Townsville (C),Auslan,Secondary,No,S
Heatley Secondary College,2120,North Queensland,Townsville (C),German,Secondary,No,S
Heatley Secondary College,2120,North Queensland,Townsville (C),Japanese,Secondary,No,S
Heatley State School,0305,North Queensland,Townsville (C),Japanese,Primary,No,P
Hebel State School,0954,Darling Downs South West,Balonne (S),Japanese,Primary,No,P
Helens Hill State School,0912,North Queensland,Hinchinbrook (S),Italian,Primary,No,P
Helensvale State High School,2184,South East,Gold Coast (C),Japanese,Secondary,No,S
Helensvale State School,1929,South East,Gold Coast (C),Japanese,Primary,No,P
Helidon State School,0052,Darling Downs South West,Lockyer Valley (R),German,Primary,No,P
Hendra State School,0033,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Herberton State School,0254,Far North Queensland,Tablelands (R),Japanese,Combined,No,P/S
Hercules Road State School,1858,North Coast,Moreton Bay (R),French,Primary,No,P
Hermit Park State School,0873,North Queensland,Townsville (C),German,Primary,No,P
Hervey Bay State High School,2093,North Coast,Fraser Coast (R),Chinese,Secondary,No,S
Highfields State School,0053,Darling Downs South West,Toowoomba (R),Japanese,Primary,No,P
Highland Reserve State School,6135,South East,Gold Coast (C),Chinese,Primary,No,P
Hilder Road State School,1887,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Hilliard State School,1986,South East,Redland (C),German,Primary,No,P
Hillview State School,0541,South East,Scenic Rim (R),Japanese,Primary,No,P
Holland Park State High School,2125,Metropolitan,Brisbane (C),German,Secondary,No,S
Holland Park State High School,2125,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Holland Park State School,1593,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Home Hill State High School,2094,North Queensland,Burdekin (S),Japanese,Secondary,No,S
Home Hill State School,1380,North Queensland,Burdekin (S),Japanese,Primary,No,P
Homebush State School,0470,Central Queensland,Mackay (R),Chinese,Primary,No,P
Homestead State School,0241,North Queensland,Charters Towers (R),Japanese,Primary,No,P
Howard State School,0345,North Coast,Fraser Coast (R),German,Primary,No,P
Hughenden State School,0388,North Queensland,Flinders (S),Japanese,Combined,No,P/S
Humpybong State School,0164,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Ilfracombe State School,0713,Central Queensland,Longreach (R),French,Primary,No,P
Inala State School,1116,Metropolitan,Brisbane (C),LOTE,Primary,No,P
Indooroopilly State High School,2034,Metropolitan,Brisbane (C),Chinese,Secondary,No,S
Indooroopilly State High School,2034,Metropolitan,Brisbane (C),Spanish,Secondary,No,S
Indooroopilly State School,0585,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Ingham State High School,2027,North Queensland,Hinchinbrook (S),Italian,Secondary,No,S
Ingham State School,0450,North Queensland,Hinchinbrook (S),Italian,Primary,No,P
Ingleside State School,0661,South East,Gold Coast (C),Japanese,Primary,No,P
Inglewood State School,0055,Darling Downs South West,Goondiwindi (R),German,Combined,No,P
Injune P-10 State School,1723,Darling Downs South West,Maranoa (R),French,Combined,No,P/S
Innisfail East State School,1660,Far North Queensland,Cassowary Coast (R),Italian,Primary,No,P
Innisfail State School,0527,Far North Queensland,Cassowary Coast (R),Italian,Primary,No,P
Ipswich Central State School,0059,Metropolitan,Ipswich (C),German,Primary,No,P
Ipswich East State School,0575,Metropolitan,Ipswich (C),German,Primary,No,P
Ipswich North State School,0061,Metropolitan,Ipswich (C),Japanese,Primary,No,P
Ipswich State High School,2069,Metropolitan,Ipswich (C),Japanese,Secondary,No,S
Ipswich West State School,0366,Metropolitan,Ipswich (C),German,Primary,No,P
Ironside State School,0108,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Isabella State School,1721,Far North Queensland,Cairns (R),Chinese,Primary,No,P
Isis District State High School,2063,North Coast,Bundaberg (R),German,Secondary,No,S
Isisford State School,0063,Central Queensland,Longreach (R),Japanese,Primary,No,P
Ithaca Creek State School,0455,Metropolitan,Brisbane (C),German,Primary,No,P
Jambin State School,1659,Central Queensland,Banana (S),Japanese,Primary,No,P
Jamboree Heights State School,0276,Metropolitan,Brisbane (C),Chinese,Primary,No,P
James Nash State High School,2137,North Coast,Gympie (R),German,Secondary,No,S
Jandowae Prep-10 State School,0537,Darling Downs South West,Western Downs (R),Japanese,Combined,No,P/S
Jarvisfield State School,0798,North Queensland,Burdekin (S),Japanese,Primary,No,P
Jericho State School,0206,Central Queensland,Barcaldine (R),French,Primary,No,P
Jimboomba State School,0604,South East,Logan (C),Japanese,Primary,No,P
Jimbour State School,1558,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Jindalee State School,0402,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Jinibara State School,0180,North Coast,Moreton Bay (R),French,Primary,No,P
Jondaryan State School,0064,Darling Downs South West,Toowoomba (R),German,Primary,No,P
Jones Hill State School,0649,North Coast,Gympie (R),German,Primary,No,P
Julatten State School,1809,Far North Queensland,Tablelands (R),Japanese,Primary,No,P
Julia Creek State School,1289,North Queensland,McKinlay (S),Japanese,Primary,No,P
Junction Park State School,0514,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Jundah State School,0910,Central Queensland,Barcoo (S),French,Primary,No,P
Kaimkillenbun State School,1187,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Kairi State School,1279,Far North Queensland,Tablelands (R),Japanese,Primary,No,P
Kalamia State School,1494,North Queensland,Burdekin (S),Japanese,Primary,No,P
Kalbar State School,0343,South East,Scenic Rim (R),German,Primary,No,P
Kalkie State School,0277,North Coast,Bundaberg (R),German,Primary,No,P
Kallangur State School,0605,North Coast,Moreton Bay (R),Spanish,Primary,No,P
Kandanga State School,1478,North Coast,Gympie (R),German,Primary,No,P
Karalee State School,1938,Metropolitan,Ipswich (C),German,Primary,No,P
Karara State School,1145,Darling Downs South West,Southern Downs (R),French,Primary,No,P
Kawana Waters State College,5653,North Coast,Sunshine Coast (R),Chinese,Combined,No,S
Kawana Waters State College,5653,North Coast,Sunshine Coast (R),Japanese,Combined,No,P/S
Kawungan State School,1987,North Coast,Fraser Coast (R),Chinese,Primary,No,P
Kedron State High School,2039,Metropolitan,Brisbane (C),Auslan,Secondary,No,S
Kedron State High School,2039,Metropolitan,Brisbane (C),Chinese,Secondary,No,S
Kedron State High School,2039,Metropolitan,Brisbane (C),French,Secondary,No,S
Kedron State High School,2039,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Kedron State High School,2039,Metropolitan,Brisbane (C),Spanish,Secondary,No,S
Kedron State School,0371,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Kelso State School,1960,North Queensland,Townsville (C),Japanese,Primary,No,P
Kelvin Grove State College,2409,Metropolitan,Brisbane (C),Italian,Combined,No,P/S
Kelvin Grove State College,2409,Metropolitan,Brisbane (C),Japanese,Combined,No,S
Kenilworth State Community College,1309,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Kenmore South State School,1143,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Kenmore State High School,2132,Metropolitan,Brisbane (C),German,Secondary,No,S
Kenmore State High School,2132,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Kenmore State School,0923,Metropolitan,Brisbane (C),German,Primary,No,P
Kennedy State School,0868,Far North Queensland,Cassowary Coast (R),Indonesian,Primary,No,P
Kentville State School,0710,Darling Downs South West,Lockyer Valley (R),Japanese,Primary,No,P
Kepnock State High School,2095,North Coast,Bundaberg (R),German,Secondary,No,S
Kepnock State High School,2095,North Coast,Bundaberg (R),Japanese,Secondary,No,S
Keppel Sands State School,0670,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Kia-Ora State School,1707,North Coast,Gympie (R),German,Primary,No,P
Kilcoy State High School,2133,North Coast,Somerset (R),Japanese,Secondary,No,S
Kilcoy State School,0679,North Coast,Somerset (R),Japanese,Primary,No,P
Kilcummin State School,0787,Central Queensland,Isaac (R),French,Primary,No,P
Kilkivan State School,0168,North Coast,Gympie (R),Japanese,Combined,No,P
Killarney P-10 State School,0163,Darling Downs South West,Southern Downs (R),Japanese,Combined,No,P/S
Kimberley Park State School,1937,South East,Logan (C),Japanese,Primary,No,P
Kin Kin State School,1534,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Kin Kora State School,1912,Central Queensland,Gladstone (R),Japanese,Primary,No,P
Kingaroy State High School,2044,Darling Downs South West,South Burnett (R),German,Secondary,No,S
Kingaroy State High School,2044,Darling Downs South West,South Burnett (R),Japanese,Secondary,No,S
Kingaroy State School,0995,Darling Downs South West,South Burnett (R),Japanese,Primary,No,P
Kingsthorpe State School,1274,Darling Downs South West,Toowoomba (R),Chinese,Primary,No,P
Kingston College,2139,South East,Logan (C),Chinese,Secondary,No,S
Kingston College,2139,South East,Logan (C),Indonesian,Secondary,No,S
Kingston State School,1348,South East,Logan (C),LOTE,Primary,No,P
Kioma State School,0415,Darling Downs South West,Goondiwindi (R),French,Primary,No,P
Kippa-Ring State School,0616,North Coast,Moreton Bay (R),Chinese,Primary,No,P
Kirwan State High School,2146,North Queensland,Townsville (C),French,Secondary,No,S
Kirwan State High School,2146,North Queensland,Townsville (C),Japanese,Secondary,No,S
Kirwan State School,1862,North Queensland,Townsville (C),French,Primary,No,P
Kogan State School,1078,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Kolan South State School,0279,North Coast,Bundaberg (R),Japanese,Primary,No,P
Kowanyama State School,0460,Far North Queensland,Kowanyama (S),LOTE,Combined,No,P
Kruger State School,1878,Metropolitan,Ipswich (C),German,Primary,No,P
Kulpi State School,1472,Darling Downs South West,Toowoomba (R),German,Primary,No,P
Kuluin State School,1968,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Kumbia State School,1423,Darling Downs South West,South Burnett (R),German,Primary,No,P
Kuraby State School,1462,Metropolitan,Brisbane (C),German,Primary,No,P
Kurwongbah State School,1958,North Coast,Moreton Bay (R),French,Primary,No,P
Kurwongbah State School,1958,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Labrador State School,0443,South East,Gold Coast (C),Italian,Primary,No,P
Laidley District State School,1676,Darling Downs South West,Lockyer Valley (R),Japanese,Primary,No,P
Laidley State High School,2163,Darling Downs South West,Lockyer Valley (R),German,Secondary,No,S
Laidley State High School,2163,Darling Downs South West,Lockyer Valley (R),Japanese,Secondary,No,S
Lake Clarendon State School,1009,Darling Downs South West,Lockyer Valley (R),Japanese,Primary,No,P
Lakeland State School,0202,Far North Queensland,Cook (S),French,Primary,No,P
Lakes Creek State School,0067,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Landsborough State School,0349,North Coast,Sunshine Coast (R),Spanish,Primary,No,P
Laura State School,0583,Far North Queensland,Cook (S),French,Primary,No,P
Lawnton State School,0329,North Coast,Moreton Bay (R),German,Primary,No,P
Leichhardt State School,1148,Metropolitan,Ipswich (C),LOTE,Primary,No,P
Leyburn State School,0068,Darling Downs South West,Southern Downs (R),French,Primary,No,P
Linville State School,0980,Darling Downs South West,Somerset (R),Indonesian,Primary,No,P
Lochington State School,1119,Central Queensland,Central Highlands (R),Indonesian,Primary,No,P
Lockhart State School,0505,Far North Queensland,Lockhart River (S),LOTE,Combined,No,P
Lockrose State School,1061,Darling Downs South West,Lockyer Valley (R),Japanese,Primary,No,P
Lockyer District State High School,2062,Darling Downs South West,Lockyer Valley (R),German,Secondary,No,S
Logan Reserve State School,0069,South East,Logan (C),Chinese,Primary,No,P
Logan Village State School,0123,South East,Logan (C),Japanese,Primary,No,P
Loganholme State School,0070,South East,Logan (C),Japanese,Primary,No,P
Loganlea State High School,2153,South East,Logan (C),Chinese,Secondary,No,S
Longreach School of Distance Education,3611,Central Queensland,Longreach (R),Japanese,Combined,No,P
Longreach State High School,2112,Central Queensland,Longreach (R),French,Secondary,No,S
Longreach State School,0711,Central Queensland,Longreach (R),French,Primary,No,P
Lota State School,0882,Metropolitan,Brisbane (C),French,Primary,No,P
Lower Tully State School,1010,Far North Queensland,Cassowary Coast (R),Indonesian,Primary,No,P
Lowmead State School,1140,North Coast,Gladstone (R),Indonesian,Primary,No,P
Lowood State High School,2160,Metropolitan,Somerset (R),German,Secondary,No,S
Lowood State School,0242,Metropolitan,Somerset (R),German,Primary,No,P
Lundavra State School,0418,Darling Downs South West,Goondiwindi (R),French,Primary,No,P
Ma Ma Creek State School,0383,Darling Downs South West,Lockyer Valley (R),German,Primary,No,P
Mabel Park State High School,2161,South East,Logan (C),Japanese,Secondary,No,S
Mabel Park State School,0356,South East,Logan (C),Japanese,Primary,No,P
MacGregor State High School,2124,Metropolitan,Brisbane (C),Chinese,Secondary,No,S
MacGregor State High School,2124,Metropolitan,Brisbane (C),German,Secondary,No,S
MacGregor State High School,2124,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
MacGregor State School,0192,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Machans Beach State School,0758,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Mackay Central State School,0071,Central Queensland,Mackay (R),Chinese,Primary,No,P
Mackay North State High School,2096,Central Queensland,Mackay (R),Japanese,Secondary,No,S
Mackay North State School,0746,Central Queensland,Mackay (R),Japanese,Primary,No,P
Mackay Northern Beaches State High School,7873,Central Queensland,Mackay (R),Japanese,Secondary,Yes,P/S
Mackay State High School,2009,Central Queensland,Mackay (R),Chinese,Secondary,No,S
Mackenzie River State School,0101,Central Queensland,Isaac (R),Japanese,Primary,No,P
Mackenzie State Primary and Special School (Primary),0608,Metropolitan,Brisbane (C),French,Primary,No,P
Macknade State School,0324,North Queensland,Hinchinbrook (S),Italian,Primary,No,P
MacLeay Island State School,1959,South East,Redland (C),Japanese,Primary,No,P
Magnetic Island State School,1219,North Queensland,Townsville (C),Japanese,Primary,No,P
Maidavale State School,1214,North Queensland,Burdekin (S),Japanese,Primary,No,P
Malanda State High School,2067,Far North Queensland,Tablelands (R),French,Secondary,No,S
Malanda State High School,2067,Far North Queensland,Tablelands (R),German,Secondary,No,S
Malanda State High School,2067,Far North Queensland,Tablelands (R),Italian,Secondary,No,S
Malanda State High School,2067,Far North Queensland,Tablelands (R),Japanese,Secondary,No,S
Malanda State School,1396,Far North Queensland,Tablelands (R),Japanese,Primary,No,P
Maleny State High School,2177,North Coast,Sunshine Coast (R),Japanese,Secondary,No,S
Maleny State School,1390,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Mango Hill State School,7575,North Coast,Moreton Bay (R),Italian,Primary,No,P
Manly State School,1222,Metropolitan,Brisbane (C),French,Primary,No,P
Manly West State School,0264,Metropolitan,Brisbane (C),French,Primary,No,P
Mansfield State High School,2059,Metropolitan,Brisbane (C),French,Secondary,No,S
Mansfield State High School,2059,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Mansfield State School,0143,Metropolitan,Brisbane (C),French,Primary,No,P
Mapleton State School,0878,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Mareeba State High School,2058,Far North Queensland,Tablelands (R),Italian,Secondary,No,S
Mareeba State High School,2058,Far North Queensland,Tablelands (R),Japanese,Secondary,No,S
Mareeba State School,0653,Far North Queensland,Tablelands (R),Italian,Primary,No,P
Marian State School,0518,Central Queensland,Mackay (R),Japanese,Primary,No,P
Marlborough State School,1584,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Marmor State School,1122,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Maroochydore State High School,2097,North Coast,Sunshine Coast (R),Japanese,Secondary,No,S
Maroochydore State School,1711,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Maroon State School,0640,South East,Scenic Rim (R),German,Primary,No,P
Maroondan State School,1251,North Coast,Bundaberg (R),Japanese,Primary,No,P
Marsden State High School,2176,South East,Logan (C),Chinese,Secondary,No,S
Marsden State School,1875,South East,Logan (C),Chinese,Primary,No,P
Marshall Road State School,0708,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Mary Valley State College,0465,North Coast,Gympie (R),German,Combined,No,P/S
Maryborough Central State School,0072,North Coast,Fraser Coast (R),German,Primary,No,P
Maryborough State High School,2020,North Coast,Fraser Coast (R),German,Secondary,No,S
Maryborough West State School,0485,North Coast,Fraser Coast (R),Japanese,Primary,No,P
Maryvale State School,1389,Darling Downs South West,Southern Downs (R),French,Primary,No,P
Mayfield State School,1090,Metropolitan,Brisbane (C),Japanese,Primary,No,P
McDonnell Creek State School,1400,Far North Queensland,Cairns (R),Japanese,Primary,No,P
McDowall State School,0378,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Meandarra State School,1473,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Mena Creek State School,1673,Far North Queensland,Cassowary Coast (R),Italian,Primary,No,P
